Område,Fråga,parti,svar
Ekonomi,RUT-avdraget ska tredubblas,C,Instämmer helt
Arbetsmarknad,Vinster i välfärden ska förbjudas,C,Helt emot
Miljö,Sverige ska satsa på snabbtåg,C,Instämmer helt
Miljö,En flygskatt ska införas,C,Helt emot
Integration och invandring,Niqab ska förbjudas i skolan,C,Helt emot
Integration och invandring,Ensamkommande barn ska få allmän amnesti,C,Instämmer delvis
Lag och ordning,Eget bruk av narkotika ska tillåtas,C,Delvis emot
Ekonomi,Pensionsåldern ska höjas,C,Instämmer helt
Arbetsmarknad,Arbetsförmedlingen ska läggas ner,C,Instämmer helt
Integration och invandring,Permanent uppehållstillstånd ska vara huvudregel i flyktingpolitiken,C,Instämmer delvis
Ekonomi,Ett bidragstak ska införas,C,Instämmer delvis
Arbetsmarknad,Lägre ingångslöner för ungdomar ska införas,C,Instämmer helt
Lag och ordning,Polisen ska få bättre tillgång till kameraövervakning,C,Instämmer helt
Lag och ordning,Varje form av stöd till terrorism ska kriminaliseras,C,Instämmer helt
Ekonomi,Skatten på pension ska vara samma som på lön,C,Delvis emot
Utrikespolitik,Sverige ska söka medlemskap i Nato,C,Instämmer helt
Skola,Inga fler religiösa friskolor ska tillåtas,C,Delvis emot
Integration och invandring,Alla kommuner ska tvingas ta emot flyktingar,C,Instämmer helt
Miljö,Bensinskatten ska höjas,C,Helt emot
Miljö,En särskild skatt på kött ska införas,C,Helt emot
Skola,Staten ska ta över huvudansvaret för skolan,C,Helt emot
Vård,Tandvård ska subventioneras på samma sätt som sjukvård,C,Helt emot
Utrikespolitik,Sverige ska lämna EU,C,Helt emot
Lag och ordning,Tiggeri ska förbjudas,C,Instämmer delvis
Arbetsmarknad,Sex timmars arbetsdag ska införas,C,Delvis emot
Ekonomi,RUT-avdraget ska tredubblas,L,Instämmer helt
Arbetsmarknad,Vinster i välfärden ska förbjudas,L,Helt emot
Miljö,Sverige ska satsa på snabbtåg,L,Helt emot
Miljö,En flygskatt ska införas,L,Delvis emot
Integration och invandring,Niqab ska förbjudas i skolan,L,Instämmer delvis
Integration och invandring,Ensamkommande barn ska få allmän amnesti,L,Delvis emot
Lag och ordning,Eget bruk av narkotika ska tillåtas,L,Helt emot
Ekonomi,Pensionsåldern ska höjas,L,Instämmer helt
Arbetsmarknad,Arbetsförmedlingen ska läggas ner,L,Instämmer helt
Integration och invandring,Permanent uppehållstillstånd ska vara huvudregel i flyktingpolitiken,L,Delvis emot
Ekonomi,Ett bidragstak ska införas,L,Instämmer delvis
Arbetsmarknad,Lägre ingångslöner för ungdomar ska införas,L,Instämmer delvis
Lag och ordning,Polisen ska få bättre tillgång till kameraövervakning,L,Instämmer helt
Lag och ordning,Varje form av stöd till terrorism ska kriminaliseras,L,Instämmer helt
Ekonomi,Skatten på pension ska vara samma som på lön,L,Delvis emot
Utrikespolitik,Sverige ska söka medlemskap i Nato,L,Instämmer helt
Skola,Inga fler religiösa friskolor ska tillåtas,L,Instämmer helt
Integration och invandring,Alla kommuner ska tvingas ta emot flyktingar,L,Delvis emot
Miljö,Bensinskatten ska höjas,L,Helt emot
Miljö,En särskild skatt på kött ska införas,L,Helt emot
Skola,Staten ska ta över huvudansvaret för skolan,L,Instämmer helt
Vård,Tandvård ska subventioneras på samma sätt som sjukvård,L,Delvis emot
Utrikespolitik,Sverige ska lämna EU,L,Helt emot
Lag och ordning,Tiggeri ska förbjudas,L,Instämmer delvis
Arbetsmarknad,Sex timmars arbetsdag ska införas,L,Helt emot
Ekonomi,RUT-avdraget ska tredubblas,KD,Instämmer helt
Arbetsmarknad,Vinster i välfärden ska förbjudas,KD,Helt emot
Miljö,Sverige ska satsa på snabbtåg,KD,Instämmer delvis
Miljö,En flygskatt ska införas,KD,Helt emot
Integration och invandring,Niqab ska förbjudas i skolan,KD,Delvis emot
Integration och invandring,Ensamkommande barn ska få allmän amnesti,KD,Instämmer delvis
Lag och ordning,Eget bruk av narkotika ska tillåtas,KD,Helt emot
Ekonomi,Pensionsåldern ska höjas,KD,Instämmer delvis
Arbetsmarknad,Arbetsförmedlingen ska läggas ner,KD,Instämmer helt
Integration och invandring,Permanent uppehållstillstånd ska vara huvudregel i flyktingpolitiken,KD,Instämmer delvis
Ekonomi,Ett bidragstak ska införas,KD,Instämmer delvis
Arbetsmarknad,Lägre ingångslöner för ungdomar ska införas,KD,Instämmer delvis
Lag och ordning,Polisen ska få bättre tillgång till kameraövervakning,KD,Instämmer delvis
Lag och ordning,Varje form av stöd till terrorism ska kriminaliseras,KD,Instämmer helt
Ekonomi,Skatten på pension ska vara samma som på lön,KD,Instämmer helt
Utrikespolitik,Sverige ska söka medlemskap i Nato,KD,Instämmer helt
Skola,Inga fler religiösa friskolor ska tillåtas,KD,Helt emot
Integration och invandring,Alla kommuner ska tvingas ta emot flyktingar,KD,Instämmer helt
Miljö,Bensinskatten ska höjas,KD,Delvis emot
Miljö,En särskild skatt på kött ska införas,KD,Helt emot
Skola,Staten ska ta över huvudansvaret för skolan,KD,Instämmer delvis
Vård,Tandvård ska subventioneras på samma sätt som sjukvård,KD,Delvis emot
Utrikespolitik,Sverige ska lämna EU,KD,Helt emot
Lag och ordning,Tiggeri ska förbjudas,KD,Instämmer delvis
Arbetsmarknad,Sex timmars arbetsdag ska införas,KD,Delvis emot
Ekonomi,RUT-avdraget ska tredubblas,M,Instämmer helt
Arbetsmarknad,Vinster i välfärden ska förbjudas,M,Helt emot
Miljö,Sverige ska satsa på snabbtåg,M,Helt emot
Miljö,En flygskatt ska införas,M,Helt emot
Integration och invandring,Niqab ska förbjudas i skolan,M,Instämmer delvis
Integration och invandring,Ensamkommande barn ska få allmän amnesti,M,Helt emot
Lag och ordning,Eget bruk av narkotika ska tillåtas,M,Helt emot
Ekonomi,Pensionsåldern ska höjas,M,Instämmer helt
Arbetsmarknad,Arbetsförmedlingen ska läggas ner,M,Instämmer helt
Integration och invandring,Permanent uppehållstillstånd ska vara huvudregel i flyktingpolitiken,M,Helt emot
Ekonomi,Ett bidragstak ska införas,M,Instämmer helt
Arbetsmarknad,Lägre ingångslöner för ungdomar ska införas,M,Instämmer helt
Lag och ordning,Polisen ska få bättre tillgång till kameraövervakning,M,Instämmer helt
Lag och ordning,Varje form av stöd till terrorism ska kriminaliseras,M,Instämmer helt
Ekonomi,Skatten på pension ska vara samma som på lön,M,Helt emot
Utrikespolitik,Sverige ska söka medlemskap i Nato,M,Instämmer helt
Skola,Inga fler religiösa friskolor ska tillåtas,M,Delvis emot
Integration och invandring,Alla kommuner ska tvingas ta emot flyktingar,M,Instämmer delvis
Miljö,Bensinskatten ska höjas,M,Delvis emot
Miljö,En särskild skatt på kött ska införas,M,Helt emot
Skola,Staten ska ta över huvudansvaret för skolan,M,Delvis emot
Vård,Tandvård ska subventioneras på samma sätt som sjukvård,M,Helt emot
Utrikespolitik,Sverige ska lämna EU,M,Helt emot
Lag och ordning,Tiggeri ska förbjudas,M,Instämmer helt
Arbetsmarknad,Sex timmars arbetsdag ska införas,M,Helt emot
Ekonomi,RUT-avdraget ska tredubblas,MP,Helt emot
Arbetsmarknad,Vinster i välfärden ska förbjudas,MP,Instämmer delvis
Miljö,Sverige ska satsa på snabbtåg,MP,Instämmer helt
Miljö,En flygskatt ska införas,MP,Instämmer helt
Integration och invandring,Niqab ska förbjudas i skolan,MP,Helt emot
Integration och invandring,Ensamkommande barn ska få allmän amnesti,MP,Instämmer delvis
Lag och ordning,Eget bruk av narkotika ska tillåtas,MP,Delvis emot
Ekonomi,Pensionsåldern ska höjas,MP,Instämmer helt
Arbetsmarknad,Arbetsförmedlingen ska läggas ner,MP,Delvis emot
Integration och invandring,Permanent uppehållstillstånd ska vara huvudregel i flyktingpolitiken,MP,Instämmer helt
Ekonomi,Ett bidragstak ska införas,MP,Helt emot
Arbetsmarknad,Lägre ingångslöner för ungdomar ska införas,MP,Helt emot
Lag och ordning,Polisen ska få bättre tillgång till kameraövervakning,MP,Instämmer delvis
Lag och ordning,Varje form av stöd till terrorism ska kriminaliseras,MP,Instämmer delvis
Ekonomi,Skatten på pension ska vara samma som på lön,MP,Instämmer helt
Utrikespolitik,Sverige ska söka medlemskap i Nato,MP,Helt emot
Skola,Inga fler religiösa friskolor ska tillåtas,MP,Delvis emot
Integration och invandring,Alla kommuner ska tvingas ta emot flyktingar,MP,Instämmer helt
Miljö,Bensinskatten ska höjas,MP,Instämmer helt
Miljö,En särskild skatt på kött ska införas,MP,Instämmer delvis
Skola,Staten ska ta över huvudansvaret för skolan,MP,Helt emot
Vård,Tandvård ska subventioneras på samma sätt som sjukvård,MP,Instämmer helt
Utrikespolitik,Sverige ska lämna EU,MP,Helt emot
Lag och ordning,Tiggeri ska förbjudas,MP,Helt emot
Arbetsmarknad,Sex timmars arbetsdag ska införas,MP,Instämmer delvis
Ekonomi,RUT-avdraget ska tredubblas,S,Helt emot
Arbetsmarknad,Vinster i välfärden ska förbjudas,S,Instämmer delvis
Miljö,Sverige ska satsa på snabbtåg,S,Instämmer helt
Miljö,En flygskatt ska införas,S,Instämmer helt
Integration och invandring,Niqab ska förbjudas i skolan,S,Instämmer delvis
Integration och invandring,Ensamkommande barn ska få allmän amnesti,S,Helt emot
Lag och ordning,Eget bruk av narkotika ska tillåtas,S,Helt emot
Ekonomi,Pensionsåldern ska höjas,S,Delvis emot
Arbetsmarknad,Arbetsförmedlingen ska läggas ner,S,Helt emot
Integration och invandring,Permanent uppehållstillstånd ska vara huvudregel i flyktingpolitiken,S,Instämmer delvis
Ekonomi,Ett bidragstak ska införas,S,Delvis emot
Arbetsmarknad,Lägre ingångslöner för ungdomar ska införas,S,Helt emot
Lag och ordning,Polisen ska få bättre tillgång till kameraövervakning,S,Instämmer helt
Lag och ordning,Varje form av stöd till terrorism ska kriminaliseras,S,Instämmer helt
Ekonomi,Skatten på pension ska vara samma som på lön,S,Instämmer helt
Utrikespolitik,Sverige ska söka medlemskap i Nato,S,Helt emot
Skola,Inga fler religiösa friskolor ska tillåtas,S,Instämmer delvis
Integration och invandring,Alla kommuner ska tvingas ta emot flyktingar,S,Instämmer helt
Miljö,Bensinskatten ska höjas,S,Delvis emot
Miljö,En särskild skatt på kött ska införas,S,Helt emot
Skola,Staten ska ta över huvudansvaret för skolan,S,Delvis emot
Vård,Tandvård ska subventioneras på samma sätt som sjukvård,S,Instämmer delvis
Utrikespolitik,Sverige ska lämna EU,S,Helt emot
Lag och ordning,Tiggeri ska förbjudas,S,Instämmer delvis
Arbetsmarknad,Sex timmars arbetsdag ska införas,S,Helt emot
Ekonomi,RUT-avdraget ska tredubblas,V,Helt emot
Arbetsmarknad,Vinster i välfärden ska förbjudas,V,Instämmer helt
Miljö,Sverige ska satsa på snabbtåg,V,Instämmer helt
Miljö,En flygskatt ska införas,V,Instämmer helt
Integration och invandring,Niqab ska förbjudas i skolan,V,Helt emot
Integration och invandring,Ensamkommande barn ska få allmän amnesti,V,Instämmer helt
Lag och ordning,Eget bruk av narkotika ska tillåtas,V,Instämmer delvis
Ekonomi,Pensionsåldern ska höjas,V,Helt emot
Arbetsmarknad,Arbetsförmedlingen ska läggas ner,V,Helt emot
Integration och invandring,Permanent uppehållstillstånd ska vara huvudregel i flyktingpolitiken,V,Instämmer helt
Ekonomi,Ett bidragstak ska införas,V,Helt emot
Arbetsmarknad,Lägre ingångslöner för ungdomar ska införas,V,Helt emot
Lag och ordning,Polisen ska få bättre tillgång till kameraövervakning,V,Instämmer delvis
Lag och ordning,Varje form av stöd till terrorism ska kriminaliseras,V,Instämmer delvis
Ekonomi,Skatten på pension ska vara samma som på lön,V,Instämmer helt
Utrikespolitik,Sverige ska söka medlemskap i Nato,V,Helt emot
Skola,Inga fler religiösa friskolor ska tillåtas,V,Instämmer delvis
Integration och invandring,Alla kommuner ska tvingas ta emot flyktingar,V,Instämmer helt
Miljö,Bensinskatten ska höjas,V,Instämmer delvis
Miljö,En särskild skatt på kött ska införas,V,Delvis emot
Skola,Staten ska ta över huvudansvaret för skolan,V,Instämmer helt
Vård,Tandvård ska subventioneras på samma sätt som sjukvård,V,Instämmer helt
Utrikespolitik,Sverige ska lämna EU,V,Instämmer helt
Lag och ordning,Tiggeri ska förbjudas,V,Helt emot
Arbetsmarknad,Sex timmars arbetsdag ska införas,V,Instämmer helt
Ekonomi,RUT-avdraget ska tredubblas,SD,Instämmer delvis
Arbetsmarknad,Vinster i välfärden ska förbjudas,SD,Delvis emot
Miljö,Sverige ska satsa på snabbtåg,SD,Delvis emot
Miljö,En flygskatt ska införas,SD,Helt emot
Integration och invandring,Niqab ska förbjudas i skolan,SD,Instämmer helt
Integration och invandring,Ensamkommande barn ska få allmän amnesti,SD,Helt emot
Lag och ordning,Eget bruk av narkotika ska tillåtas,SD,Helt emot
Ekonomi,Pensionsåldern ska höjas,SD,Delvis emot
Arbetsmarknad,Arbetsförmedlingen ska läggas ner,SD,Instämmer delvis
Integration och invandring,Permanent uppehållstillstånd ska vara huvudregel i flyktingpolitiken,SD,Helt emot
Ekonomi,Ett bidragstak ska införas,SD,Instämmer delvis
Arbetsmarknad,Lägre ingångslöner för ungdomar ska införas,SD,Instämmer delvis
Lag och ordning,Polisen ska få bättre tillgång till kameraövervakning,SD,Instämmer helt
Lag och ordning,Varje form av stöd till terrorism ska kriminaliseras,SD,Instämmer helt
Ekonomi,Skatten på pension ska vara samma som på lön,SD,Instämmer helt
Utrikespolitik,Sverige ska söka medlemskap i Nato,SD,Helt emot
Skola,Inga fler religiösa friskolor ska tillåtas,SD,Instämmer delvis
Integration och invandring,Alla kommuner ska tvingas ta emot flyktingar,SD,Helt emot
Miljö,Bensinskatten ska höjas,SD,Helt emot
Miljö,En särskild skatt på kött ska införas,SD,Helt emot
Skola,Staten ska ta över huvudansvaret för skolan,SD,Instämmer helt
Vård,Tandvård ska subventioneras på samma sätt som sjukvård,SD,Instämmer delvis
Utrikespolitik,Sverige ska lämna EU,SD,Instämmer helt
Lag och ordning,Tiggeri ska förbjudas,SD,Instämmer helt
Arbetsmarknad,Sex timmars arbetsdag ska införas,SD,Helt emot
Ekonomi,RUT-avdraget ska tredubblas,FI,Helt emot
Arbetsmarknad,Vinster i välfärden ska förbjudas,FI,Instämmer delvis
Miljö,Sverige ska satsa på snabbtåg,FI,Delvis emot
Miljö,En flygskatt ska införas,FI,Instämmer helt
Integration och invandring,Niqab ska förbjudas i skolan,FI,Delvis emot
Integration och invandring,Ensamkommande barn ska få allmän amnesti,FI,Instämmer helt
Lag och ordning,Eget bruk av narkotika ska tillåtas,FI,Helt emot
Ekonomi,Pensionsåldern ska höjas,FI,Instämmer delvis
Arbetsmarknad,Arbetsförmedlingen ska läggas ner,FI,Helt emot
Integration och invandring,Permanent uppehållstillstånd ska vara huvudregel i flyktingpolitiken,FI,Instämmer helt
Ekonomi,Ett bidragstak ska införas,FI,Helt emot
Arbetsmarknad,Lägre ingångslöner för ungdomar ska införas,FI,Helt emot
Lag och ordning,Polisen ska få bättre tillgång till kameraövervakning,FI,Delvis emot
Lag och ordning,Varje form av stöd till terrorism ska kriminaliseras,FI,Instämmer helt
Ekonomi,Skatten på pension ska vara samma som på lön,FI,Instämmer helt
Utrikespolitik,Sverige ska söka medlemskap i Nato,FI,Helt emot
Skola,Inga fler religiösa friskolor ska tillåtas,FI,Instämmer delvis
Integration och invandring,Alla kommuner ska tvingas ta emot flyktingar,FI,Instämmer helt
Miljö,Bensinskatten ska höjas,FI,Instämmer helt
Miljö,En särskild skatt på kött ska införas,FI,Instämmer helt
Skola,Staten ska ta över huvudansvaret för skolan,FI,Instämmer helt
Vård,Tandvård ska subventioneras på samma sätt som sjukvård,FI,Instämmer helt
Utrikespolitik,Sverige ska lämna EU,FI,Helt emot
Lag och ordning,Tiggeri ska förbjudas,FI,Helt emot
Arbetsmarknad,Sex timmars arbetsdag ska införas,FI,Instämmer helt
